lon,lat,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
116.51643,39.92013,396,1,0,0.0,2,356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.3769,39.92753,470,1,2,2.0,4,91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.4221,39.92951,678,2,29,0.77,2,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.44018,39.95165,302,14,2,0.14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.38591,39.93789,476,1,87,1.66,4,361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.37378,40.00004000000001,510,2,2,0.23,1,298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.43916000000002,39.89326,289,2,48,0.91,1,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.39473999999998,39.94462,691,1,0,0.0,2,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.39707,39.94321,262,7,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.30979,39.89532,483,3,7,0.14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.37633999999998,39.92614,570,1,0,0.0,4,361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.42817,39.91614000000001,101,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116.4535,39.91823,597,1,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.31614,40.00126,127,2,22,0.43,8,109,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
116.55947,39.75045,342,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116.43542,39.93842,416,1,111,2.15,7,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.3403,39.88849,127,1,52,2.45,12,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.46267,40.00201,228,1,182,3.55,1,306,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.36298,39.97743,248,2,80,1.57,1,356,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116.59473,40.03849,208,1,61,1.64,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
116.38573999999998,39.93633,476,1,45,0.95,4,353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.72217,40.20904,1134,2,3,0.06,1,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116.48557,39.98307,208,1,41,0.97,1,353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.34227,39.99067,228,1,49,0.95,2,363,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
116.3105,39.95417,336,1,28,0.7,1,319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
116.39908,39.94279,1610,2,17,0.34,7,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.55011,40.15418,228,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
116.47357,39.98785,1342,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.46132,39.88776,201,1,32,0.65,3,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.45772,39.92814,376,1,91,1.76,3,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.4683,39.88725,161,3,2,0.04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.37613,39.92575,268,1,1,0.02,4,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
116.3377,40.02807,302,15,1,0.02,1,198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116.63912,40.28642,268,1,1,0.09,2,365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
116.40333,39.9482,235,2,104,2.08,1,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116.453,39.9183,651,1,14,0.29,2,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.54324,39.76242,127,1,10,0.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
116.46264,39.89575,248,1,11,0.27,7,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.45274,39.96165,799,4,2,0.29,2,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45277,39.96032,718,360,13,0.26,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.47443,39.89958,356,1,3,0.08,31,355,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.61552,39.92765,215,1,5,0.1,1,91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.43682,39.9383,416,1,108,2.19,7,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
